Method,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_prob_ks,forget_quality,forget_truth_ratio,mia_mia_loss,mia_mia_min_k,mia_mia_min_k_plus_plus,mia_mia_zlib,mia_privleak,model_utility,peak_gpu_mb,privleak,time_seconds
Original,0.05846075668401129,0.12984710693359375,0.2813450830389146,,0.06521994354498474,0.7457294657743262,0.32058437500000003,0.320925,0.42179374999999997,0.26739999999999997,-0.16401652107981463,0.3241842585833919,18399.55419921875,-0.16401652107981463,723.4041469097137
Retrain,0.05861729724883508,0.1261370849609375,0.2718721222553976,,,0.7457352799820438,0.31915312500000004,0.319809375,0.4199062499999999,0.26802187499999997,0.0,0.31999517306139313,18399.5546875,0.0,39.47896599769592
LMC_K10,0.0641737793422547,0.20384033203125,0.38104768695771085,4.059470396507229e-26,0.8635251702254226,0.7353456853087325,0.343465625,0.33628437499999997,0.3931875,0.26420625,-2.4221151236211025,0.43115644832038025,31500,-2.4221151236211025,6484.970331871882
LMC_K20,0.04631135528062767,0.05056686401367187,0.29545676405614196,,9.532297003197859e-05,0.7641071164013844,0.30481249999999993,0.32132812499999996,0.46105000000000007,0.287159375,-0.22328299508343413,0.20829661714115813,31500,-0.22328299508343413,6879.456357642077
LMC_K30,0.050526736182388295,0.08275726318359375,0.25333679639746515,,0.0029708770428139948,0.7503227239696695,0.31604062499999996,0.32340625,0.40256875000000003,0.270234375,-0.528803965722293,0.264303476568395,31500,-0.528803965722293,7110.3519461955875
LMC_K40,0.05146497052335614,0.08420852661132812,0.21456208678094985,,0.006260402267679663,0.7478558020048116,0.316178125,0.3259375,0.39374374999999995,0.272109375,-0.9009422908613445,0.2685974396776075,31500,-0.9009422908613445,7525.34951302968
LMC_K50,0.05068566649405211,0.08255325317382813,0.22002051697740163,,0.00794521285574355,0.7476146321885031,0.31494375,0.32415937499999997,0.38769375,0.27166250000000003,-0.6395266032019404,0.2652555320860318,31500,-0.6395266032019404,7608.614183435217
GradDiff,0.04136392358900773,0.0025031795410905035,0.3197273984556752,,5.668696454900228e-34,0.5227704342574943,0.05197187499999998,0.04566874999999998,0.11899375,0.03748125,40.30349947262159,0.27591575528738804,33126.93408203125,40.30349947262159,147.90788197517395
NPO,0.04854718536637382,0.023448724746704102,0.2013139126687866,,1.6196210141854015e-10,0.702920758601457,0.015840624999999997,0.012484374999999992,0.016262499999999982,0.06971562499999999,45.182186972191474,0.25041677304263055,39250.85546875,45.182186972191474,339.81529688835144
PDU,0.06249522190250932,0.1656573486328125,0.37681356097251056,,0.01260422744087484,0.7497521224161424,0.2523625,0.2864625,0.6140874999999999,0.19165625,4.902577861183739,0.4386450221670564,32461.55029296875,4.902577861183739,149.3547079563141
UNDIAL,0.042856194312037715,0.0727337646484375,0.2889963922756553,,0.019594795142993927,0.7521353109132909,0.20290625,0.26576875,0.28341249999999996,0.22055,7.944923526703272,0.3106453388223636,39912.3203125,7.944923526703272,164.18036890029907
